indx,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
1027,electronic communications in probability,1083-589X,436,296,1.472972973,0.302,2015
1028,electronic journal of biotechnology,0717-3458,607,315,1.926984127,0.424,2015
1029,electronic journal of combinatorics,1077-8926,1115,962,1.159043659,0.224,2015
1030,electronic journal of differential equations,1072-6691,232,107,2.168224299,0.492,2015
1031,electronic journal of linear algebra,1081-3810,230,257,0.894941634,0.162,2015
1032,electronic journal of probability,1083-6489,796,452,1.761061947,0.379,2015
1033,electronic journal of qualitative theory of differential equations,1417-3875,24,11,2.181818182,0.496,2015
1034,electronic journal of statistics,1935-7524,931,411,2.265206813,0.52,2015
1035,electronic markets,1422-8890,295,134,2.201492537,0.501,2015
1036,electronic proceedings in theoretical computer science,2075-2180,900,927,0.970873786,0.179,2015
1037,electronic research announcements in mathematical sciences,1079-6762,49,51,0.960784314,0.177,2015
1038,electronic research announcements in mathematical sciences,1935-9179,49,51,0.960784314,0.177,2015
1039,electronic transactions on numerical analysis,1068-9613,69,29,2.379310345,0.553,2015
1040,elife,2050-084X,7678,911,8.428100988,2.713,2015
1041,embo molecular medicine,1757-4676,4189,502,8.344621514,2.68,2015
1042,embo molecular medicine,1757-4684,4189,502,8.344621514,2.68,2015
1043,emergency medicine international,2090-2859,220,111,1.981981982,0.439,2015
1044,emergency radiology,1438-1435,607,333,1.822822823,0.395,2015
1045,emerging infectious diseases,1080-6059,12566,2564,4.900936037,1.372,2015
1046,emerging themes in epidemiology,1742-7622,166,58,2.862068966,0.697,2015
1047,emerita,1988-8384,8,16,0.5,0.078,2015
1048,empirica,1573-6911,141,126,1.119047619,0.214,2015
1049,empirical economics,1435-8921,804,485,1.657731959,0.351,2015
1050,empirical software engineering,1573-7616,855,170,5.029411765,1.417,2015
1051,employee responsibilities and rights journal,1573-3378,89,83,1.072289157,0.203,2015
1052,endangered species research,1613-4796,960,387,2.480620155,0.583,2015
1053,endangered species research,1863-5407,960,387,2.480620155,0.583,2015
1054,endeavour,0160-9327,51,78,0.653846154,0.109,2015
1055,endocrine,1559-0100,2485,921,2.69815418,0.647,2015
1056,endocrine journal,1348-4540,1634,667,2.449775112,0.573,2015
1057,endocrine pathology,1559-0097,403,200,2.015,0.448,2015
1058,endocrinology and metabolism,2093-5978,396,209,1.894736842,0.415,2015
1059,endokrynologia polska,0423-104X,444,327,1.357798165,0.273,2015
1060,endokrynologia polska,2299-8306,444,327,1.357798165,0.273,2015
1061,energies,1996-1073,4153,1259,3.298649722,0.834,2015
1062,energy,0360-5442,24349,4237,5.746754779,1.676,2015
1063,energy efficiency,1570-6478,508,205,2.47804878,0.582,2015
1064,energy systems,1868-3975,283,106,2.669811321,0.639,2015
1065,engenharia agricola,0100-6916,474,496,0.955645161,0.175,2015
1066,engenharia sanitaria e ambiental,1413-4152,126,168,0.75,0.129,2015
1067,engenharia sanitaria e ambiental,1809-4457,126,168,0.75,0.129,2015
1068,engineering,2096-0026,437,523,0.835564054,0.148,2015
1069,engineering applications of computational fluid mechanics,1994-2060,283,210,1.347619048,0.27,2015
1070,engineering applications of computational fluid mechanics,1997-003X,283,210,1.347619048,0.27,2015
1071,engineering letters,1816-0948,9,13,0.692307692,0.117,2015
1072,engineering with computers,1435-5663,363,173,2.098265896,0.472,2015
1073,entropy,1099-4300,2123,864,2.457175926,0.576,2015
1074,environmental and ecological statistics,1573-3009,187,157,1.191082803,0.231,2015
1075,environmental and resource economics,1573-1502,1442,434,3.322580645,0.841,2015
1076,environmental biology of fishes,1573-5133,1135,631,1.798732171,0.389,2015
1077,environmental chemistry letters,1610-3661,925,277,3.339350181,0.847,2015
1078,environmental earth sciences,1866-6299,7453,2967,2.511964948,0.592,2015
1079,environmental fluid mechanics,1573-1510,298,190,1.568421053,0.327,2015
1080,environmental geochemistry and health,1573-2983,918,340,2.7,0.648,2015
1081,environmental health,1476-069X,2733,547,4.996343693,1.406,2015
1082,environmental health and preventive medicine,1347-4715,538,263,2.045627376,0.457,2015
1083,environmental health perspectives,0091-6765,12612,1686,7.480427046,2.335,2015
1084,environmental management,1432-1009,2741,960,2.855208333,0.695,2015
1085,environmental modeling & assessment,1573-2967,354,211,1.677725118,0.356,2015
1086,environmental monitoring and assessment,1573-2959,7577,3219,2.353836595,0.545,2015
1087,environmental research letters,1748-9326,6588,1191,5.531486146,1.597,2015
1088,environmental science and pollution research,1614-7499,8610,2847,3.024236038,0.747,2015
1089,environmental sciences europe,2190-4715,466,141,3.304964539,0.836,2015
1090,enzyme research,2090-0414,644,195,3.302564103,0.835,2015
1091,epidemics,1755-4365,343,115,2.982608696,0.734,2015
1092,epidemics,1878-0067,343,115,2.982608696,0.734,2015
1093,epidemiologic perspectives & innovations,1742-5573,98,19,5.157894737,1.463,2015
1094,epidemiology research international,2090-2980,52,44,1.181818182,0.229,2015
1095,epigenetics & chromatin,1756-8935,776,173,4.485549133,1.227,2015
1096,epilepsy currents,1535-7511,270,228,1.184210526,0.23,2015
1097,epilepsy research and treatment,2090-1356,185,83,2.228915663,0.509,2015
1098,epj data science,2193-1127,236,42,5.619047619,1.629,2015
1100,epj web of conferences,2100-014X,1267,1968,0.643800813,0.107,2015
1101,era forum,1863-9038,59,79,0.746835443,0.129,2015
1102,erde,0013-9998,0,1,0,0,2015
1104,erkenntnis,1572-8420,378,339,1.115044248,0.213,2015
1105,esophagus,1612-9067,172,123,1.398373984,0.283,2015
1106,estonian journal of earth sciences,1736-4728,128,108,1.185185185,0.23,2015
1107,estonian journal of earth sciences,1736-7557,128,108,1.185185185,0.23,2015
1108,estuaries and coasts,1559-2731,1709,548,3.118613139,0.777,2015
1109,estudos de psicologia (campinas),1982-0275,215,211,1.018957346,0.19,2015
1110,estudos ibero americanos,1980-864X,10,14,0.714285714,0.122,2015
1111,ethical theory and moral practice,1572-8447,199,193,1.031088083,0.193,2015
1112,ethics & global politics,1654-4951,49,63,0.777777778,0.135,2015
1113,ethics & global politics,1654-6369,49,63,0.777777778,0.135,2015
1114,ethics and information technology,1572-8439,430,125,3.44,0.879,2015
1115,ethik in der medizin,1437-1618,75,102,0.735294118,0.126,2015
1116,etri journal,1225-6463,966,614,1.573289902,0.328,2015
1117,euphytica,1573-5060,2451,1142,2.146234676,0.486,2015
1118,eurasip journal on advances in signal processing,1687-6180,1870,1097,1.704649043,0.363,2015
1119,eurasip journal on audio speech and music processing,1687-4722,226,124,1.822580645,0.395,2015
1120,eurasip journal on bioinformatics and systems biology,1687-4153,58,63,0.920634921,0.167,2015
1121,eurasip journal on embedded systems,1687-3963,75,53,1.41509434,0.287,2015
1122,eurasip journal on image and video processing,1687-5281,491,207,2.371980676,0.551,2015
1123,eurasip journal on information security,1687-417X,158,39,4.051282051,1.08,2015
1124,eurasip journal on wireless communications and networking,1687-1499,2354,1293,1.820572312,0.395,2015
1125,european archives of psychiatry and clinical neuroscience,1433-8491,1432,427,3.353629977,0.851,2015
1126,european biophysics journal,1432-1017,993,479,2.073068894,0.465,2015
1127,european business organization law review,1741-6205,48,73,0.657534247,0.11,2015
1128,european cells & materials,1473-2262,1813,323,5.613003096,1.627,2015
1129,european child & adolescent psychiatry,1435-165X,1901,461,4.123644252,1.104,2015
1130,european food research and technology,1438-2385,2271,1069,2.124415341,0.479,2015
1131,european journal of ageing,1613-9380,416,162,2.567901235,0.608,2015
1132,european journal of applied physiology,1439-6327,5491,1715,3.201749271,0.803,2015
1133,european journal of chemistry,2153-2249,364,347,1.048991354,0.197,2015
1134,european journal of chemistry,2153-2257,364,347,1.048991354,0.197,2015
1135,european journal of chemistry,3816-1907,364,347,1.048991354,0.197,2015
1136,european journal of clinical microbiology & infectious diseases,1435-4373,3904,1337,2.919970082,0.715,2015
1137,european journal of clinical pharmacology,1432-1041,2846,974,2.921971253,0.716,2015
1138,european journal of drug metabolism and pharmacokinetics,2107-0180,204,148,1.378378378,0.278,2015
1139,european journal of epidemiology,1573-7284,2834,521,5.439539347,1.564,2015
1140,european journal of forest research,1612-4677,1351,521,2.593090211,0.616,2015
1141,european journal of histochemistry,1121-760X,467,271,1.723247232,0.368,2015
1142,european journal of law and economics,1572-9990,217,195,1.112820513,0.212,2015
1143,european journal of medical research,0949-2321,731,380,1.923684211,0.423,2015
1144,european journal of medical research,2047-783X,731,380,1.923684211,0.423,2015
1145,european journal of nuclear medicine and molecular imaging,1619-7089,6281,1415,4.438869258,1.211,2015
1146,european journal of nutrition,1436-6215,2266,596,3.802013423,0.997,2015
1147,european journal of pediatrics,1432-1076,2857,1216,2.349506579,0.544,2015
1148,european journal of plant pathology,1573-8469,1844,952,1.93697479,0.427,2015
1149,european journal of plastic surgery,1435-0130,186,294,0.632653061,0.104,2015
1150,european journal of psychiatry,0213-6163,109,90,1.211111111,0.236,2015
1151,european journal of psychology of education,1878-5174,427,208,2.052884615,0.459,2015
1152,european journal of remote sensing,2279-7254,252,187,1.347593583,0.27,2015
1153,european journal of transport and infrastructure research,1567-7133,149,89,1.674157303,0.355,2015
1154,european journal of transport and infrastructure research,1567-7141,149,89,1.674157303,0.355,2015
1155,european journal of trauma and emergency surgery,1863-9941,255,328,0.777439024,0.135,2015
1156,european journal of wildlife research,1439-0574,1047,552,1.89673913,0.416,2015
1157,european journal of wood and wood products,1436-736X,570,457,1.24726477,0.245,2015
1158,european journal on criminal policy and research,1572-9869,132,92,1.434782609,0.293,2015
1159,european physical journal c,1434-6044,8051,2006,4.013459621,1.067,2015
1160,european radiology,1432-1084,8052,1773,4.541455161,1.246,2015
1161,european respiratory review,1600-0617,1275,285,4.473684211,1.223,2015
1162,european review of aging and physical activity,1813-7253,152,68,2.235294118,0.511,2015
1163,european review of aging and physical activity,1861-6909,152,68,2.235294118,0.511,2015
1164,european spine journal,1432-0932,5996,1979,3.029813037,0.749,2015
1165,european transport research review,1866-8887,165,106,1.556603774,0.324,2015
1166,european transport research review,1867-0717,165,106,1.556603774,0.324,2015
1168,eurosurveillance,1560-7917,5205,1383,3.763557484,0.984,2015
1169,evodevo,2041-9139,588,146,4.02739726,1.072,2015
1170,evolutionary applications,1520-6505,1882,376,5.005319149,1.409,2015
1171,evolutionary applications,1752-4571,1882,376,5.005319149,1.409,2015
1172,evolutionary bioinformatics,1176-9343,244,124,1.967741935,0.435,2015
1173,evolutionary ecology,1573-8477,1093,434,2.51843318,0.594,2015
1174,evolutionary intelligence,1864-5917,138,71,1.943661972,0.429,2015
1175,evolutionary psychology,1474-7049,540,251,2.151394422,0.487,2015
1176,evolving systems,1868-6486,236,87,2.712643678,0.652,2015
1177,excli journal,1611-2156,360,262,1.374045802,0.277,2015
1178,experimental & translational stroke medicine,2040-7378,210,84,2.5,0.588,2015
1179,experimental and applied acarology,1572-9702,1092,538,2.029739777,0.453,2015
1180,experimental and molecular medicine,2092-6413,1455,370,3.932432432,1.04,2015
1181,experimental animals,1341-1357,337,216,1.560185185,0.325,2015
1182,experimental astronomy,1572-9508,489,213,2.295774648,0.528,2015
1183,experimental brain research,1432-1106,5655,1996,2.833166333,0.688,2015
1184,experimental diabetes research,1687-5303,1840,525,3.504761905,0.9,2015
1185,experimental economics,1573-6938,915,158,5.791139241,1.692,2015
1186,experimental mechanics,1741-2765,1537,645,2.382945736,0.554,2015
1187,experimental techniques,1747-1567,242,223,1.085201794,0.206,2015
1188,experiments in fluids,1432-1114,2742,1090,2.51559633,0.593,2015
1189,express polymer letters,1788-618X,1643,479,3.43006263,0.876,2015
1190,extremes,1572-915X,210,101,2.079207921,0.467,2015
1191,extremophiles,1433-4909,1085,384,2.825520833,0.686,2015
1192,facies,1612-4820,360,209,1.722488038,0.368,2015
1193,familial cancer,1573-7292,963,437,2.203661327,0.502,2015
1194,family medicine,0742-3225,519,423,1.226950355,0.24,2015
1195,farmacia hospitalaria,2171-8695,196,309,0.634304207,0.105,2015
1196,feminist legal studies,1572-8455,91,67,1.358208955,0.273,2015
1197,fibres & textiles in eastern europe,1230-3666,315,327,0.963302752,0.177,2015
1198,fibrogenesis & tissue repair,1755-1536,809,134,6.037313433,1.783,2015
1199,field actions science reports,1867-8521,2,6,0.333333333,0.047,2015
1200,filomat,0354-5180,452,394,1.147208122,0.221,2015
1201,finance and stochastics,1432-1122,463,138,3.355072464,0.852,2015
1202,financial markets and portfolio management,2373-8529,100,79,1.265822785,0.25,2015
1203,fire technology,1572-8099,359,242,1.483471074,0.305,2015
1204,fish pathology,1881-7335,96,104,0.923076923,0.168,2015
1205,fish physiology and biochemistry,1573-5168,1409,669,2.10612855,0.474,2015
1206,fisheries science,1444-2906,657,635,1.034645669,0.194,2015
1207,fishery bulletin,0090-0656,104,63,1.650793651,0.349,2015
1208,fisioterapia,0211-5638,56,115,0.486956522,0.075,2015
1209,fitoterapia,0367-326X,3562,1188,2.998316498,0.739,2015
1210,fixed point theory and applications,1687-1812,1570,1014,1.548323471,0.322,2015
1211,flexible services and manufacturing journal,1936-6590,334,103,3.242718447,0.816,2015
1212,flora,0367-2530,906,483,1.875776398,0.41,2015
1213,florida entomologist,0015-4040,820,772,1.062176166,0.2,2015
1214,florida entomologist,1938-5102,820,772,1.062176166,0.2,2015
1215,fluids and barriers of the cns,2045-8118,650,108,6.018518519,1.776,2015
1216,fluoride,0015-4725,15,17,0.882352941,0.159,2015
1217,fluoride,2253-4083,15,17,0.882352941,0.159,2015
1218,folia geobotanica,1874-9348,225,126,1.785714286,0.385,2015
1219,folia histochemica et cytobiologica,0239-8508,448,398,1.125628141,0.216,2015
1220,folia histochemica et cytobiologica,1897-5631,448,398,1.125628141,0.216,2015
1221,folia microbiologica,1874-9356,565,396,1.426767677,0.29,2015
1222,folia neuropathologica,1509-572x,320,181,1.767955801,0.38,2015
1223,folia neuropathologica,1641-4640,320,181,1.767955801,0.38,2015
1224,folia oeconomica stetinensia,1898-0198,16,40,0.4,0.059,2015
1225,food & nutrition research,1654-661X,504,151,3.337748344,0.846,2015
1226,food & nutrition research,1654-6628,504,151,3.337748344,0.846,2015
1227,food analytical methods,1936-976X,1580,751,2.103861518,0.473,2015
1228,food and bioprocess technology,1935-5149,4643,1248,3.720352564,0.97,2015
1229,food and environmental virology,1867-0342,409,138,2.963768116,0.729,2015
1230,food biophysics,1557-1866,498,206,2.417475728,0.564,2015
1231,food engineering reviews,1866-7929,424,69,6.144927536,1.823,2015
1232,food security,1876-4525,744,245,3.036734694,0.751,2015
1233,food technology and biotechnology,1330-9862,596,291,2.048109966,0.458,2015
1234,food technology and biotechnology,1334-2606,596,291,2.048109966,0.458,2015
1235,fordham law review,0015-704X,105,178,0.58988764,0.096,2015
1236,forensic toxicology,1860-8973,523,156,3.352564103,0.851,2015
1237,forest research papers,2082-8926,26,55,0.472727273,0.072,2015
1238,forest systems,2171-5068,314,251,1.250996016,0.246,2015
1239,forest systems,2171-9845,314,251,1.250996016,0.246,2015
1240,forests,1999-4907,801,351,2.282051282,0.524,2015
1241,formal aspects of computing,1433-299X,286,160,1.7875,0.386,2015
1242,formal methods in system design,1572-8102,22,8,2.75,0.663,2015
1243,formalized mathematics,1898-9934,26,76,0.342105263,0.048,2015
1244,forum der psychoanalyse,1437-0751,31,75,0.413333333,0.061,2015
1245,fossil record,2193-0066,86,49,1.755102041,0.377,2015
1246,fossil record,2193-0074,86,49,1.755102041,0.377,2015
1247,foundations of chemistry,1572-8463,76,75,1.013333333,0.189,2015
1248,foundations of computational mathematics,1615-3383,684,142,4.816901408,1.342,2015
1249,foundations of physics,1572-9516,612,418,1.464114833,0.3,2015
1250,foundations of science,1572-8471,122,152,0.802631579,0.141,2015
1251,frontiers in aging neuroscience,1663-4365,2669,529,5.04536862,1.423,2015
1252,frontiers in applied mathematics and statistics,2297-4687,,,,,2015
1253,frontiers in astronomy and space sciences,2296-987X,7,4,1.75,0.376,2015
1254,frontiers in behavioral neuroscience,1662-5153,3605,948,3.802742616,0.997,2015
1255,frontiers in bioengineering and biotechnology,2296-4185,300,90,3.333333333,0.845,2015
1256,frontiers in built environment,2297-3362,,,,,2015
1257,frontiers in cardiovascular medicine,2297-055X,4,7,0.571428571,0.092,2015
1258,frontiers in cell and developmental biology,2296-634X,214,71,3.014084507,0.744,2015
1259,frontiers in cellular and infection microbiology,2235-2988,2491,474,5.255274262,1.498,2015
1260,frontiers in cellular neuroscience,1662-5102,3813,817,4.667074663,1.29,2015
1261,frontiers in computational neuroscience,1662-5188,1726,627,2.752791069,0.664,2015
1262,frontiers in earth science,2296-6463,4,2,2,0.444,2015
1263,frontiers in ecology and evolution,2296-701X,212,82,2.585365854,0.614,2015
1264,frontiers in endocrinology,1664-2392,2910,730,3.98630137,1.058,2015
1265,frontiers in energy research,2296-598X,130,59,2.203389831,0.502,2015
1266,frontiers in environmental science,2296-665X,110,54,2.037037037,0.455,2015
1267,frontiers in evolutionary neuroscience,1663-070X,135,29,4.655172414,1.286,2015
1268,frontiers in genetics,1664-8021,4351,1127,3.860692103,1.016,2015
1269,frontiers in heat and mass transfer,2151-8629,102,82,1.243902439,0.244,2015
1270,frontiers in human neuroscience,1662-5161,12084,2657,4.547986451,1.249,2015
1271,frontiers in ict,2297-198X,6,3,2,0.444,2015
1272,frontiers in immunology,1664-3224,8824,1649,5.351121892,1.532,2015
1273,frontiers in integrative neuroscience,1662-5145,1784,439,4.063781321,1.084,2015
1274,frontiers in marine science,2296-7745,189,85,2.223529412,0.508,2015
1275,frontiers in materials,2296-8016,47,31,1.516129032,0.314,2015
1276,frontiers in mechanical engineering,2297-3079,164,141,1.163120567,0.225,2015
1277,frontiers in microbiology,1664-302X,8985,1864,4.82027897,1.344,2015
1278,frontiers in molecular biosciences,2296-889X,37,25,1.48,0.304,2015
1279,frontiers in molecular neuroscience,1662-5099,1646,325,5.064615385,1.43,2015
1280,frontiers in neural circuits,1662-5110,2180,505,4.316831683,1.169,2015
1281,frontiers in neuroanatomy,1662-5129,1521,360,4.225,1.138,2015
1282,frontiers in neuroenergetics,1662-6427,307,62,4.951612903,1.39,2015
1283,frontiers in neuroengineering,1662-6443,536,116,4.620689655,1.274,2015
1284,frontiers in neuroinformatics,1662-5196,1065,285,3.736842105,0.975,2015
1285,frontiers in neurology,1664-2295,2698,763,3.53604194,0.91,2015
1286,frontiers in neurorobotics,1662-5218,249,79,3.151898734,0.787,2015
1287,frontiers in neuroscience,1662-453X,5285,1243,4.251810137,1.147,2015
1288,frontiers in nutrition,2296-861X,47,23,2.043478261,0.456,2015
1289,frontiers in oncology,2234-943X,4100,919,4.461371055,1.219,2015
1290,frontiers in pediatrics,2296-2360,414,158,2.620253165,0.624,2015
1291,frontiers in pharmacology,1663-9812,3468,776,4.469072165,1.222,2015
1292,frontiers in physics,2296-424X,6,11,0.545454545,0.087,2015
1293,frontiers in physiology,1664-042X,6749,1544,4.37111399,1.188,2015
1294,frontiers in plant science,1664-462X,8346,1676,4.979713604,1.4,2015
1295,frontiers in psychiatry,1664-0640,2655,581,4.569707401,1.256,2015
1296,frontiers in psychology,1664-1078,11953,3493,3.421986831,0.873,2015
1297,frontiers in public health,2296-2565,677,308,2.198051948,0.5,2015
1298,frontiers in robotics and ai,2296-9144,44,15,2.933333333,0.719,2015
1299,frontiers in surgery,2296-875X,52,38,1.368421053,0.276,2015
1300,frontiers in synaptic neuroscience,1663-3563,486,104,4.673076923,1.292,2015
1301,frontiers in systems neuroscience,1662-5137,3387,590,5.740677966,1.674,2015
1302,frontiers in veterinary science,2297-1769,19,10,1.9,0.416,2015
1303,frontiers in zoology,1742-9994,1200,270,4.444444444,1.213,2015
1304,fuel,0016-2361,19357,3942,4.910451547,1.375,2015
1305,functional & integrative genomics,1438-7948,858,263,3.262357414,0.822,2015
1306,fungal diversity,1878-9129,1601,281,5.697508897,1.658,2015
1307,future internet,1999-5903,580,213,2.723004695,0.655,2015
1308,futures,0016-3287,1116,486,2.296296296,0.529,2015
1309,fuzzy optimization and decision making,1573-2908,438,111,3.945945946,1.044,2015
1310,gaceta sanitaria,0213-9111,955,841,1.135552913,0.218,2015
1312,gaceta sanitaria,1578-1283,955,841,1.135552913,0.218,2015
1313,games,2073-4336,109,91,1.197802198,0.233,2015
1314,gastric cancer,1436-3305,1237,355,3.484507042,0.893,2015
1315,gastroenterology,0016-5085,25590,5454,4.691969197,1.299,2015
1316,gastroenterology insights,2036-7422,12,20,0.6,0.098,2015
1317,gastroenterology research,1918-2813,65,121,0.537190083,0.085,2015
1318,gastroenterology research and practice,1687-6121,1422,571,2.490367776,0.585,2015
1319,gastroenterology research and practice,1687-630X,1422,571,2.490367776,0.585,2015
1320,gcb bioenergy,1757-1707,1795,290,6.189655172,1.84,2015
1321,gender issues,1936-4717,66,34,1.941176471,0.428,2015
1322,gene,0378-1119,7972,3187,2.501411986,0.589,2015
1323,general relativity and gravitation,1572-9532,1356,795,1.705660377,0.364,2015
1324,genes,2073-4425,638,215,2.96744186,0.73,2015
1325,genes & cancer,1947-6027,2036,365,5.578082192,1.614,2015
1326,genes & genetic systems,1880-5779,254,167,1.520958084,0.315,2015
1327,genes & genomics,2092-9293,320,323,0.990712074,0.184,2015
1328,genes and environment,1880-7062,29,76,0.381578947,0.055,2015
1329,genes and nutrition,1865-3499,947,260,3.642307692,0.944,2015
1330,genetic programming and evolvable machines,1573-7632,259,94,2.755319149,0.665,2015
1331,genetic resources and crop evolution,1573-5109,1107,643,1.721617418,0.368,2015
1332,genetic vaccines and therapy,1479-0556,45,30,1.5,0.309,2015
1333,genetica,1573-6857,762,389,1.958868895,0.433,2015
1334,genetics and molecular biology,0100-8455,831,509,1.632612967,0.344,2015
1335,genetics and molecular biology,1415-4757,831,509,1.632612967,0.344,2015
1336,genetics and molecular biology,1678-4685,831,509,1.632612967,0.344,2015
1337,genetics and molecular research,1676-5680,3014,2531,1.190833663,0.231,2015
1338,genetics and molecular research,3056-3069,3014,2531,1.190833663,0.231,2015
1339,genetics and molecular research,3620-1251,3014,2531,1.190833663,0.231,2015
1340,genetics and molecular research,3621-1991,3014,2531,1.190833663,0.231,2015
1341,genetics and molecular research,7258-7266,3014,2531,1.190833663,0.231,2015
1342,genetics selection evolution,0999-193X,948,246,3.853658537,1.014,2015
1343,genetics selection evolution,1297-9686,948,246,3.853658537,1.014,2015
1344,genome biology,1465-6906,13563,1123,12.07747106,4.266,2015
1345,genome biology,1474-760X,13563,1123,12.07747106,4.266,2015
1346,genome biology and evolution,1759-6653,3923,839,4.675804529,1.293,2015
1347,genome integrity,2041-9414,136,42,3.238095238,0.814,2015
1348,genome medicine,1756-994X,2089,479,4.361169102,1.185,2015
1349,genomics,0888-7543,1719,512,3.357421875,0.852,2015
1350,geobios,0016-6995,319,225,1.417777778,0.288,2015
1351,geochemical transactions,1467-4866,104,40,2.6,0.618,2015
1352,geochronometria,1897-1695,363,166,2.186746988,0.497,2015
1353,geoderma,0016-7061,5295,1457,3.634179822,0.942,2015
1354,geodesy and cartography,2300-2581,87,120,0.725,0.124,2015
1355,geodiversitas,1280-9659,178,133,1.338345865,0.268,2015
1356,geofisica internacional,0016-7169,211,419,0.503579952,0.078,2015
1357,geofluids,1468-8123,419,160,2.61875,0.624,2015
1358,geoforum,0016-7185,2595,679,3.82179676,1.003,2015
1359,geoheritage,1867-2485,239,101,2.366336634,0.549,2015
1360,geoinformatica,1573-7624,337,164,2.054878049,0.46,2015
1361,geojournal,1572-9893,624,248,2.516129032,0.593,2015
1362,geologia croatica,1330-030X,132,219,0.602739726,0.098,2015
1363,geologia croatica,1333-4875,132,219,0.602739726,0.098,2015
1364,geologica acta,1695-6133,231,134,1.723880597,0.369,2015
1365,geologica acta,1696-5728,231,134,1.723880597,0.369,2015
1366,geologica belgica,1374-8505,122,127,0.960629921,0.177,2015
1367,geologica carpathica,1335-0552,216,159,1.358490566,0.273,2015
1368,geologica carpathica,1336-8052,216,159,1.358490566,0.273,2015
1369,geological quarterly,1641-7291,728,816,0.892156863,0.161,2015
1370,geological survey of denmark and greenland bulletin,1604-8156,36,18,2,0.444,2015
1371,geological survey of denmark and greenland bulletin,1904-4666,36,18,2,0.444,2015
1372,geologos,2080-6574,91,67,1.358208955,0.273,2015
1373,geometriae dedicata,1572-9168,438,436,1.004587156,0.187,2015
1374,geometric and functional analysis,1420-8970,774,267,2.898876404,0.709,2015
1375,geomorphology,0169-555X,6523,1803,3.617859124,0.936,2015
1376,georgetown law journal,0016-8092,107,69,1.550724638,0.323,2015
1377,geoscientific model development,1991-959X,2580,523,4.933078394,1.383,2015
1378,geoscientific model development,1991-9603,2580,523,4.933078394,1.383,2015
1379,geoscientific model development discussions,1991-962X,95,92,1.032608696,0.193,2015
1380,geospatial health,1827-1987,394,201,1.960199005,0.433,2015
1381,geospatial health,1970-7096,394,201,1.960199005,0.433,2015
1382,geotechnical and geological engineering,1573-1529,563,445,1.265168539,0.25,2015
1383,geothermics,0375-6505,1042,217,4.801843318,1.337,2015
1384,geriatrics,2308-3417,,,,,2015
1385,gerokomos,1578-164X,43,65,0.661538462,0.11,2015
1386,gesunde pflanzen,1439-0345,42,65,0.646153846,0.107,2015
1387,ginekologia polska,0017-0011,325,440,0.738636364,0.127,2015
1388,gladius,1988-4168,5,18,0.277777778,0.037,2015
1389,global health action,1654-9880,1566,553,2.831826401,0.688,2015
1391,globalization and health,1744-8603,999,250,3.996,1.061,2015
1393,glycoconjugate journal,1573-4986,606,281,2.15658363,0.488,2015
1394,gold bulletin,2190-7579,445,135,3.296296296,0.833,2015
1395,gps solutions,1521-1886,690,230,3,0.74,2015
1396,graellsia,1989-953X,31,57,0.543859649,0.086,2015
1397,granular matter,1434-7636,760,355,2.14084507,0.484,2015
1398,graphs and combinatorics,1435-5914,329,354,0.929378531,0.169,2015
1399,grasas y aceites,0017-3495,388,240,1.616666667,0.34,2015
1400,grasas y aceites,1988-4214,388,240,1.616666667,0.34,2015
1401,green chemistry letters and reviews,1751-7192,400,234,1.709401709,0.365,2015
1402,green chemistry letters and reviews,1751-8253,400,234,1.709401709,0.365,2015
1403,group decision and negotiation,1572-9907,440,210,2.095238095,0.471,2015
1404,grundwasser,1432-1165,54,72,0.75,0.129,2015
1405,gut pathogens,1757-4749,547,156,3.506410256,0.9,2015
1406,gynecological surgery,1613-2084,206,212,0.971698113,0.179,2015
1407,hacquetia,1854-9829,38,39,0.974358974,0.18,2015
1408,hague journal on the rule of law,1876-4053,68,63,1.079365079,0.204,2015
1409,harm reduction journal,1477-7517,574,170,3.376470588,0.859,2015
1410,harvard journal on legislation,0017-808X,8,16,0.5,0.078,2015
1411,hastings law journal,0017-8322,41,51,0.803921569,0.141,2015
1412,hayati journal of biosciences,2086-4094,62,95,0.652631579,0.109,2015
1413,head & face medicine,1746-160X,333,188,1.771276596,0.381,2015
1414,head & neck oncology,1758-3284,451,193,2.336787565,0.54,2015
1415,head and neck pathology,1936-0568,1013,350,2.894285714,0.707,2015
1416,health and human rights,1079-0969,171,101,1.693069307,0.36,2015
1417,health and human rights,2150-4113,171,101,1.693069307,0.36,2015
1418,health and quality of life outcomes,1477-7525,3186,823,3.871202916,1.02,2015
1420,health care analysis,1573-3394,199,129,1.542635659,0.32,2015
1421,health care management science,1572-9389,365,150,2.433333333,0.569,2015
1422,health expectations,1099-1050,1082,346,3.12716763,0.78,2015
1423,health expectations,1369-6513,1082,346,3.12716763,0.78,2015
1425,health expectations,1369-7625,1082,346,3.12716763,0.78,2015
1426,health research policy and systems,1478-4505,747,243,3.074074074,0.763,2015
1427,health services and outcomes research methodology,1572-9400,61,54,1.12962963,0.217,2015
1428,heart and vessels,1615-2573,935,487,1.919917864,0.422,2015
1429,heart failure reviews,1573-7322,1279,304,4.207236842,1.132,2015
1430,heart international,2036-2579,77,48,1.604166667,0.337,2015
1431,heat and mass transfer,1432-1181,934,687,1.359534207,0.273,2015
