indx,journal_name,issn,citation_count_sum,paper_count_sum,avg_cites_per_paper,proj_ai,proj_ai_year
580,brittonia,1938-436X,133,181,0.73480663,0.126,2015
581,brodogradnja,0007-215X,8,8,1,0.186,2015
582,brodogradnja,1845-5859,8,8,1,0.186,2015
583,buffalo law review,0023-9356,10,22,0.454545455,0.069,2015
584,building simulation,1996-8744,337,183,1.841530055,0.4,2015
585,bulletin of earthquake engineering,1573-1456,1073,464,2.3125,0.533,2015
586,bulletin of engineering geology and the environment,1435-9537,460,317,1.451104101,0.297,2015
587,bulletin of environmental contamination and toxicology,1432-0800,2354,1433,1.642707606,0.347,2015
588,bulletin of geosciences,1802-8225,304,213,1.427230047,0.291,2015
589,bulletin of materials science,0250-4707,1312,818,1.60391198,0.337,2015
590,bulletin of materials science,0973-7669,1312,818,1.60391198,0.337,2015
591,bulletin of mathematical biology,1522-9602,1028,542,1.896678967,0.416,2015
592,bulletin of the american mathematical society,1088-9485,360,74,4.864864865,1.359,2015
593,bulletin of the american meteorological society,1520-0477,5165,529,9.763705104,3.265,2015
594,bulletin of the american museum of natural history,0003-0090,304,65,4.676923077,1.293,2015
595,bulletin of the chemical society of ethiopia,1011-3924,165,196,0.841836735,0.15,2015
596,bulletin of the chemical society of ethiopia,1726-801X,165,196,0.841836735,0.15,2015
597,bulletin of the geological society of denmark,2245-7070,,,,,2015
598,bulletin of the geological society of finland,0367-5211,10,5,2,0.444,2015
599,bulletin of the geological society of finland,1799-4632,10,5,2,0.444,2015
600,bulletin of the history of archaeology,2047-6930,5,19,0.263157895,0.035,2015
601,bulletin of the korean chemical society,1229-5949,3077,3221,0.955293387,0.175,2015
602,bulletin of the malaysian mathematical sciences society,2180-4206,17,20,0.85,0.151,2015
603,bulletin of the veterinary institute in pulawy,2300-3235,207,352,0.588068182,0.095,2015
604,bulletin of the world health organization,0042-9686,4008,837,4.788530466,1.332,2015
605,bulletin of volcanology,1432-0819,1878,520,3.611538462,0.934,2015
606,burns,0305-4179,2516,1133,2.220653133,0.507,2015
607,business & information systems engineering,1867-0202,56,15,3.733333333,0.974,2015
608,business research,1866-8658,93,51,1.823529412,0.396,2015
609,caderno crh,1983-8239,102,121,0.842975207,0.15,2015
610,cadernos cedes,1678-7110,32,50,0.64,0.106,2015
611,cadernos de pesquisa,2178-2229,440,577,0.762564991,0.132,2015
612,cadernos de saude publica,0102-311X,2941,1465,2.007508532,0.446,2015
614,cahiers agricultures,1777-5949,146,200,0.73,0.125,2015
615,calcified tissue international,1432-0827,1925,574,3.353658537,0.851,2015
616,calcolo,1126-5434,76,74,1.027027027,0.192,2015
617,calculus of variations and partial differential equations,1432-0835,951,411,2.313868613,0.534,2015
618,caldasia,0366-5232,63,94,0.670212766,0.112,2015
619,caldasia,2357-3759,63,94,0.670212766,0.112,2015
620,california agriculture,0008-0845,146,121,1.20661157,0.235,2015
621,california agriculture,2160-8091,146,121,1.20661157,0.235,2015
622,californian journal of health promotion,1545-8725,18,23,0.782608696,0.136,2015
623,canadian journal of diabetes,1499-2671,640,460,1.391304348,0.281,2015
624,canadian journal of infectious diseases & medical microbiology,1712-9532,235,219,1.073059361,0.203,2015
625,canadian journal of surgery,1488-2310,849,382,2.222513089,0.507,2015
626,canadian respiratory journal,1198-2241,526,261,2.01532567,0.449,2015
627,canadian studies in population,0380-1489,49,83,0.590361446,0.096,2015
628,canadian studies in population,1927-629X,49,83,0.590361446,0.096,2015
629,cancer and metastasis reviews,1573-7233,2086,300,6.953333333,2.13,2015
630,cancer causes & control,1573-7225,4263,1007,4.233366435,1.141,2015
631,cancer cell international,1475-2867,1151,393,2.928753181,0.718,2015
632,cancer chemotherapy and pharmacology,1432-0843,4288,1455,2.947079038,0.723,2015
633,cancer imaging,1470-7330,548,266,2.060150376,0.461,2015
634,cancer informatics,1176-9351,226,147,1.537414966,0.319,2015
635,cancer microenvironment,1875-2284,441,120,3.675,0.955,2015
636,cancer nanotechnology,1868-6966,133,49,2.714285714,0.652,2015
